query,task,difficulty
"Prepare me a fruit salad","making a fruit salad",Easy
"Make a fruit salad","making a fruit salad",Easy
"I want a fruit salad","making a fruit salad",Easy
"Chop some fruit for a salad","making a fruit salad",Easy
"Can you make fruit salad","making a fruit salad",Easy
"Create a fruit salad","making a fruit salad",Easy
"Mix some kiwis and strawberries into a salad","making a fruit salad",Easy
"Put together a healthy fruit bowl for me","making a fruit salad",Medium
"I need a sweet and healthy snack using strawberries and kiwi","making a fruit salad",Medium
"Prepare a fresh berry and kiwi mix","making a fruit salad",Medium
"Toss some fresh fruits together for breakfast","making a fruit salad",Medium
"Combine the strawberry and kiwi into a dish","making a fruit salad",Medium
"I'd love a bowl of mixed chopped fruits","making a fruit salad",Medium
"Serve up a quick fruit medley","making a fruit salad",Medium
"My diet requires a plant-based sweet mixture in a bowl right now","making a fruit salad",Hard
"Execute the culinary protocol for combining chopped sweet produce","making a fruit salad",Hard
"Construct a refreshing botanical dish using the available berries and kiwi","making a fruit salad",Hard
"I require a nutritious concoction of sliced vibrant produce","making a fruit salad",Hard
"Assemble a raw dietary snack utilizing the red and green fruits","making a fruit salad",Hard
"Synthesize a refreshing dessert from the garden harvests","making a fruit salad",Hard
"Do the dishes","do dishes",Easy
"Wash the cups","do dishes",Easy
"Load the dishwasher","do dishes",Easy
"Clean the dirty dishes","do dishes",Easy
"Put the cup in the dishwasher","do dishes",Easy
"Clean the cups in the sink","do dishes",Easy
"Wash up the dishes","do dishes",Easy
"The sink is getting full, can you empty it","do dishes",Medium
"Please take care of the dirty cups","do dishes",Medium
"It's time to run the dishwashing machine with the cups","do dishes",Medium
"Tidy up the kitchen sink area","do dishes",Medium
"Make sure the drinkware is sanitized","do dishes",Medium
"Help me clean up after breakfast by loading the machine","do dishes",Medium
"Stow the used mugs in the cleaning appliance","do dishes",Medium
"Initiate the ceramic sanitation cycle","do dishes",Hard
"The vessels for drinking require aqueous purification","do dishes",Hard
"Restore the kitchen's liquid receptacles to a state of hygiene","do dishes",Hard
"Execute the automated porcelain cleansing routine","do dishes",Hard
"Transfer the soiled drinking apparatus to the automated scrubber","do dishes",Hard
"Banish the grime from our morning beverage containers","do dishes",Hard
"Detonate the building","detonate building",Easy
"Blow up the building","detonate building",Easy
"Push the detonation button","detonate building",Easy
"Destroy the building","detonate building",Easy
"Trigger the explosion","detonate building",Easy
"Demolish the structure","detonate building",Easy
"Set off the explosives","detonate building",Easy
"Bring down the old skyscraper","detonate building",Medium
"Press the button to level the facility","detonate building",Medium
"Execute the controlled demolition","detonate building",Medium
"Trigger the charges in the building","detonate building",Medium
"Initiate the structural collapse sequence","detonate building",Medium
"It's time to reduce the building to rubble","detonate building",Medium
"Press the switch to start the demolition","detonate building",Medium
"Terminate the architectural entity via rapid energetic disassembly","detonate building",Hard
"Initiate the catastrophic structural negation protocol","detonate building",Hard
"Convert the towering edifice into a pile of localized debris","detonate building",Hard
"Depress the actuator to finalize the urban renewal clearing phase","detonate building",Hard
"Obliterate the designated coordinates containing the obsolete architecture","detonate building",Hard
"Trigger the rapid exothermic reaction to flatten the facility","detonate building",Hard
"Start the car","start car",Easy
"Turn on the car","start car",Easy
"Start the engine","start car",Easy
"Push the button to start the car","start car",Easy
"Fire up the vehicle","start car",Easy
"Ignite the car engine","start car",Easy
"Turn the car on","start car",Easy
"Get the engine running for our trip","start car",Medium
"Warm up the automobile","start car",Medium
"Press the ignition for the vehicle","start car",Medium
